source	target
PREM NAGAR	प्रेम नगर
FELTON	फेल्टन
EVANIA	इवानिया
POOJA KE PHOOL	पूजा के फूल
SCOUT CAMP	स्काउट कैंप
SHANE WARNE	शेन वार्न
Cadbury's	कैडबरीज़
PALLAV	पल्लव
FORT BATTLEFORD	फोर्ट बैटलफोर्ड
GURARU	गुरारु
NAQLI HEERA	नकली हीरा
MURRAY PARKER	मुर्रे पार्कर
LAITH	लइथ
Simmond	सिमण्ड
SAGAMI	सगामी
JATAA SHANKAREE	जटा शंकरी
TRUDA	ट्रूडा
SAGAR KI KANYA	सागर की कन्या
SHREEVABH	श्रीवल्लभ
FORINT	फ़ोरिंट
MALCOLM	माल्कम
DARTMOOR	डार्टमूर
Lionel	लिओनेल
Shaankar	शांकर
HULCHAL	हलचल
NISHANE BAAZI	‍निशाने बाज़ी
JET AIRWAYS	जेट एयरवेज़
RAMANUJAN PRIZE	रामानुजन प्राइज़
CONGDON	कॉन्गडन
SILVER	सिल्वर
CARMEL CONVENT SCHOOL, CHANAKYA PURI	कारमेल कॉन्‍वेंट स्कूल, चाणक्य पुरी
VISHOK	विशोक
ISI KA NAAM DUNIYA HAI	इसी का नाम दुनिया है
KIRTIKUMAR	कीर्तिकुमार
Vitthal	विट्‍ठल
SUCHIRA	सुचिरा
RAJ LAXMI	राज लक्ष्मी
THE ARMENIAN CHURCH OF HOLY MARTYRS	द अमेरिकन चर्च ऑफ होली मार्टयर्स
ANNIGERI	अन्नीगेरी
SAP INDIA	सैप इंडिया
YAGY	यज्ञ
GOGIA	गोगिया
Aakifah	आकीफाह
AGRICULTURAL BANK OF CHINA	एग्रीकल्चरल बैंक ऑफ चाइना
EVERETT	एवरेट
MAAKHAN	माखन
FAEQ	फाएक
MAINE	मेन
BEGHAM	बेग़म
MAURILIO	मौरिलिओ
MAINA	मैना
FORT ZACHARY TAYLOR	फोर्ट ज़करी टेलर
Anuttam	अनुत्तम
PYAR KI PYAS	प्यार की प्यास
Amararaj	अमरराज
DELIA	डेलिया
CRAIG CUMMING	क्रेग क्युमिंग
Wasna	वस्ना
LOGIE AWARD	लॉग अवार्ड्‍स
BRECON BEACONS	ब्रेकॉन बिकॉन्स
FORT BRAGG	फोर्ट ब्रैग
KAMALA	कमला
PYAASA SAWAN	प्यासा सावन
TWENSANG	त्वेनसांग
Banmanush	बनमानुष
KASME VAADE	कसमें वादे
EK THA LADKA	एक था लड़का
IDEMITSU KOSAN	आइडेमित्सु कोसान
AMANDAA	अमांडा
Makkhu	मखू
RAPTI	राप्ती
DEEP DASGUPTA	दीप दासगुप्ता
WEYLIN	वेलिन
DELIZ	डेलिज़
KEVIN DUERS	केविन डुअर्स
BROOM BALL	ब्रूम बाल
CHITRARATH	चित्ररथ
MAA KI MAMTA	माँ की ममता
Jawdan	जवदान
VALIANT	वेलियंट
AMBURAJ	अंबुराज
Tamali	तमालि
MALAYALA MANORAMA	मालायला मनोरमा
TRINITY BIOTECH	ट्रिनिटी बायोटेक
SADHNA	साधना
SAAT SAWAL	सात सवाल
AKZO NOBEL	एक्ज़ो नोबल
Amrik	अमरीक
RASARAJ	रसराज
LECEA	लेसिया
NAGINA	नगिना
CANYON	केन्यॉन
UDDHAV	उद्धव
Ecrins	इकरीन्स
Plato	प्लेटो
MAITRAAVARUNI	मैत्रावरुणि
SHEVGAONKAR	शेवगाँवकर
ALAUDDIN	अलाउद्दीन
VIJAYAA	विजया
BERLIN	बर्लिन
UNIVERSITY OF THE SUNSHINE COAST	यूनिवर्सिटी ऑफ द सनशाइन कोस्ट
HEWLETT - PACKARD	ह्यूलेट-पैकर्ड
NATALI COLE	नताली कोल
SHAMAMAH	शममाह
JATIN PARANJPE	जतिन पारंजपे
SHYAAM KI JOGAN	श्याम की जोगन
AMERICAN EXPRESS	अमेरिकन एक्सप्रेस
CHIRAAGH	चिराग़
GLOMAR EXPLORER	ग्लोमर एक्सप्लोरर
LOLA AWARDS	लोला अवार्ड्‍स
MISS FRONTIER MAIL	मिस फ्रंटियर मेल
RAGHAV	राघव
ABDUL MUGHAANI	अब्दुल मुग़ानी
JHITARURAAM	झितरुराम
JOCELYN	जोसेलिन
BOKAJAN	बोकाजन
VIETNAM	वियतनाम
RAIN CALCINING	रेन कैल्सिंइंग
THYSSENKRUPP	थाइसेनकृप
NAAG MANI	नाग मणि
PYAR MOHABBAT	प्यार मोहब्बत
JIMMY MAHER	जिमी मेहर
RUPANA	रुपाणा
RUSSELL	रसेल
TRINITY LUTHERAN	ट्रीनिटी लुथरेन
Wernecke	वर्नेक
SWAROOP	स्वरूप
BAGBAHRA	बागबहरा
THIPSE	टिप्से
SAJJO RANI	सज्जो रानी
Melvin	मेल्विन
SOLAN	सोलन
GROSZY	ग्रोस्ज़ी
AZEEMUL HANIFF	अज़ीमुल हनिफ
MUCHCHAL	मुच्चल
XENOPHON	ज़ेनोफोन
HIGHWAY HOLDINGS	हाईवे होल्डिंग्स
TARIQAH	तारि़काह
MADHAV	माधव
ZEE TELEFIMS	ज़ी टेलीफ़िल्म्स
SARADINDU MUKHERJEE	सरादिंदू मुखर्जी
ELECTROLUX	इलेक्ट्रोलक्स
KHANDUJA	खंडुजा
UMIKA	उमिका
NUTAN	नूतन
NOTTINGHAM EAST MIDLANDS	नॉटिंगहॅम ईस्ट मिडलैंड्‍स
ATRU	अटरू
ARKAN	अरकान
ARDNACRUSHA	अर्दनाक्रुशा
EGG BUCKLAND KEEP	एग बकलैंड कीप
LETITIA	लेटीशिया
YUHANNIS	युहान्निस
JANDA	जांदा
APNE APNE	अपने अपने
RAJ NANDINI	राज नंदिनी
MAIKHANA	मैखाना
URANIUM	यूरेनियम
KHAN BAHADUR	खान बहादुर
BARNALA	बरनला
SHABBIR AHMED	शब्बीर अहमद
JIGRI	जिगरी
LOKESH	लोकेश
NAINA	नैना
GEORGIA PACIFIC	जॉर्जिया पेसिफक
TIN	टिन
DAKSHATA	दक्षता
SILVERLINE SCHOOL, GHAZIABAD	सिल्वरलाइन स्कूल, गाज़ियाबाद
SHAKEEL KHAN	शकील खान
AZARAQ	अज़राक
ABHIJIT KALE	अभिजीत काले
GAZALEE	गज़ाली
HANCOCK	हैनकॉक
CLOVIS	क्लोविस
JOAN BAZE	जोएन बेज़
VIC POLLARD	विक पोलार्ड
GEDIMINAS	गेडिमिनास
CONSTITUTION	कंस्टीट्यूशन
BHONSLE	भोसले
MOONSILVER	मूनसिल्वर
MAGDALA	मग्दला
BHILAI	भिलाई
CARNEGIE MEDAL	कार्नेग मेडल
SOMKAANTAA	सोमकांता
FRANKLIN D. ROOSEVELT	फ्रेंकलिन डी. रूसबेल्ट
AMRITA	अमृता
FAZALPUR	फज़लपुर
AURELIA	ऑरेलिया
DADWAL	डडवाल
PHOOLON KI SEJ	फूलों की सेज
CONLAN	कोनलैन
PRUDENCE	प्रुडेंस
LAKSHMIGOPAL	लक्ष्मीगोपाल
CHANDRABHAN	चंद्रभान
WARSAW	वारसो
Argheshvar	अर्घेश्वर
MANDY	मैंडी
HUA SAVERA	हुआ सवेरा
BURDES	बर्डेस
MANDU	मांडू
BROOKES	ब्रूक्स
RANJITH MADURASINGHE	रंजीथ मदुरासिंघे
PRABHAS	प्रभास
SIGOURNEY WEAVER	सिर्गोनी विवर
VISHWAS	विश्वास
TU HI TU	तू ही तू
TAPTI	ताप्ती
ARAD FORT	एरड फोर्ट
SANTA MONICA	सैन्टा मोनिका
ACHARYASUTA	आचार्यसुता
Jayden	जायडेन
MIRRA	मिर्रा
GUNDAPPA VISWANATH	गुंडप्पा विश्वनाथ
RAMANI	रमानी
GIDHAUR	गिधौर
BANKIM	बंकिम
GOPICHAND JASOOS	गोपीचंद जासूस
DEWANGANJ	दीवानगंज
ABDUL NAFEE	अब्दुल नफी
CHANPATIA	चनपटिया
AASHAA	आशा
LISBON	लिस्बन
AAJ KE ANGAAREY	आज के अँगारे
BHAGWANTI	भागवंती
ROYDON HAYES	रेडन हेस
KUNJANA	कुंजना
CLIO AWARDS	क्लियो अवार्ड
HALWANI	हलवानी
YOGENDRA	योगेंद्र
MUJHE SEENE SE LAGA LO	मुझे सीने से लगा लो
BADWAL	बड़वाल
THE AFTERNOON	द आफ्टरनून
SHENANDOAH	शेननडोह
BHATKAR	भाटकर
NEWTON	न्यूटन
GARRY	गैरी
ANDREW	एण्ड्रयू
HANFA	हनफा
SURINA	सुरीना
GANGAKHER	गंगाखेर
DABRA	डाबरा
ERMIN	एर्मिन
Aegean	एजियन
LEU	लेउ
MUHAFIZ	मुहाफिज़
MEVAN PIERIS	मेवन पाइरिस
Shaksha	शाकशा
Jennie	जेनी
GREENSPAN	ग्रीनस्पान
FIJI	फ़िजी
KIRRA	किरा
RAMUWALIA	रामूवालिया
NAZIRAH	नज़ीरा
NAV BHARAT	नव भारत
ACHANDAA	अचंदा
BAINS	बैंस
DILDAR	दिलदार
AMJAD	अमजद
VIVEKAA	विवेका
MUSTAHSAN	मुस्तहसन
BOTEJU	बोतेजू
BOSCHBEEK FORT	बॉशबीक फोर्ट
Bushra	बुशरा
FORT WORDEN	फोर्ट वॉर्डन
SERRA DOS ORGAOS	सेरा डॉस ऑरगाओस
Naji	नाजी
SINDHUR	सिंधुर
ASAD	असद
DHOBLE	ढ़ोबले
GORAKH	गोरख
NOGUCHI MUSEUM	नोगुची म्युज़ियम
JACQUES KALLIS	जैक्वेस कैलिस
UNIVERSITY OF SOUTH QUEENSLAND	यूनिवर्सिटी ऑफ साउथ क्वीन्सलैंड
SAAWAN KO AANE DO	सावन को आने दो
THAQAF	थ़काफ
MAHINDRA UNITED WORLD COLLEGE OF INDIA	मह‍िंद्रा यूनाइटेड वर्ल्ड कॉलेज ऑफ इंडिया
FORT MILES	फोर्ट माइल्स
Prapti	प्राप्ति
GALLIUM	गैलियम
ARABIAN	अरबी
ADITYAKESHAV	आदित्यकेशव
BARCLAYS	बरक्लैज़
SAXON	सॅक्सोन
PRO-FINLANDIA MEDAL	प्रो-फिनलैंडिया मेडल
AJAAD	आजाद
ROTI KAPADA AUR MAKAN	रोटी कपड़ा और मकान
TAHA	ताहा
WARSAW FREDERIC CHOPIN	वॉर्सा फ़्रेडरीक चोपिन
LADEN BIJANI	लादेन बिजानी
DO SHIKARI	दो शिकारी
AADHUNIK	आधुनिक
KEITH ARTHURTON	कैथ अर्थर्टन
KHAMOSH SIPAHI	खामोश सिपाही
BIJLI	बिजली
TAUFEEQ	तौफीक
DOHRIGHAT	दोहरीघाट
ESSEL PROPACK	एस्सेल प्रोपेक
AKSHAR	अक्षर
JAGADISHVAN	जगदीशवान
INDERPREET	इन्दरप्रीत
AJATASHATRU	अजातशत्रु
MEHANDI	मेहँदी
AJIT AGARKAR	अजीत आगरकर
PRIYATMA	प्रियतमा
POTEMKIN	पॉटेमकिन
SHARAABI	शराबी
DREAMA	ड्रीमा
RAJSHRI	राजश्री
ILA	इला
NOOR-E-ELAHI	नूर-ए-इलाही
THE DRAWING CENTER	द ड्रॉइंग सेंटर
JALSA	जलसा
ADHEER	अधीर
HABOOS	हबूस
NUTZOTIN	नुटज़ोटिन
HOBEY BAKER AWARD	होबी बेकर अवार्ड
BANWALI	बनवाली
MANUHAAR	मनुहार
ADWAAKEE	अद्‍वाकी
CEMAL	केमल
PISCES	पाइसेस
Bajrang	बजरंग
FRANZ HANIEL	फ़्रांज़ हेनीयल
MARSEILLE	मार्सेइले
SAMARTH	समर्थ
CHAMOLI	चमोली
OTIS	ओटिस
KUDMAI	कुड़मई
NAM NON	नॅम नॉन
HUNGARIAN REVOLT	हंगेरियन रिवॉल्ट
SAINT STANISLAUS HIGH SCHOOL. MUMBAI	सेंट स्टेनिस्लॉस हाई स्कूल, मुम्बई
SHAMEEM	शमीम
SUDHIRA	सुधिरा
AACHAARYANANDANA	आचार्यनंदना
KALIMANTAN	कलीमांटन
VILJOEN	विल्जोएन
CHINGARI	चिंगारी
AOULAKH	औलख
ADWAKI	अद्‍वाकी
Bhookh	भूख
MAZDA MOTOR	माज़दा मोटर
WORKSTREAM	वर्कस्ट्रीम
Phaninath	फणिनाथ
CAILEAN	कैलीन
GADWAL	गड़वाल
SHILPA	शिल्पा
AMBODALA	अम्बोडाला
Sharla	शर्ला
VISHWENDRA	विश्वेंद्र
VANANI	वनानी
VELANKAR	वेलणकर
SAINT GEORGE'S CHANNEL	सेंट जॉर्ज्स चैनल
PANESAR	पनेसर
JASAPAAL	जसपाल
MATHILDA	मथिल्डा
RAY	रे
THE ECONOMIC TIMES	द इकनॉम‍िक टाइम्स
LEONARD	लियोनार्ड
GANGA KI SAUGANDH	गंगा की सौगंध
Ilham	इलहाम
Monte	मोंटे
ADIRONDACK	एडिरॉन्डैक
QUEENSLANDER	क्वीन्सलैंडर
PYASI NIGAHEN	प्यासी निगाहें
Daraar	दरार
KANIKA	कनिका
SANYUKTA	संयुक्ता
LORETTA	लोरेट्टा
KUSUM	कुसुम
EL POTOSI	इल पोतोसी
Aadarsha	आदर्श
SEVILLA	सिविला
BABUGARH	बाबूगढ़
NATIONAL PARKS OF BRAZIL	नेशनल पार्क्स ऑफ ब्राज़ील
Chelsi	चेल्सी
FAUNIA	फॉनिया
VARADRAJA PERUMAL	वरदराजा पेरूमाल
CHIKMANGLOOR	चिकमंगलूर
AAGE KI SOCH	आगे की सोच
LONGOWAL	लोंगोवाल
CHANPAA	चंपा
DYAN	डायएन
DALEVILLE BAPTIST	डेलविले बैपटिस्ट
NDERE ISLAND	नदेरे आयलैंड
JALANGI	जलंगी
KONARK SURYA	कोणार्क सूर्य
INDUBHUSHAN	इन्दुभूषण
TORI	टोरी
RICHARD SNELL	रिचर्ड स्नेल
RUPEE	रुपी
JAWANI	जवानी
MARLIS	मार्लिस
BAALASAKHAA	बालसखा
CATHY BETTS	कॅथे बेट्स
I^JEENIYAR	इंजीनियर
UDELL	उदेल
VIDLER	विडलर
HUM MATAWLE NAUJAWAN	हम मतवाले नौजवान
SITAKANT	सीताकांत
BOMBAY WAR	बॉम्बे वार
SHIRIN	शिरीन
VAIL	वाइल
BALOTRA	बालोत्रा
Leda	लेडा
PRISCILLA PRESLEY	प्रिसीला प्रीस्ले
JITEN_DR	जितेन्द्र
KAIL	कैल
TERRIAN	टेरियन
WEDLOCK	वेडलॉक
JULIA	जूलिया
ALTHEA	एल्थिया
BELA TAL	बेला तल
CHRISTIANITY	क्रिश्चियानिटी
MELA	मेला
CHANDRIMA	चंद्रिमा
SABA KARIM	सबा करीम
KAWABATA YASUNARI PRIZE	कावाबाटा यसुनारी प्राइज़
SHOTPUT	शॉटपुट
ALLEPPEY	एलीपे
ULUPI	उलुपी
TARZAN AND COBRA	टार्ज़न एण्ड कोबरा
CALF ROPING	काफ रोपिंग
PAULOS	पोलस
MOTOCROSS	मोटोक्रॉस
ORTEIG PRIZE	ऑर्टेग प्राइज़
PRECISION VALLEY CORVETTE MUSEUM	प्रिस‍िज़न वैली कॉरवेट म्युज़ियम
DABHOLKAR	दाभोलकर
SCHOCK PRIZE IN VISUAL ARTS	श्कॉक प्राइज़ इन विज़्युल आर्ट्‍स
Bhooshan	भूषण
NONGKREM	नॉन्गक्रेम
DEREK STIRLING	डेरेक स्टरलिंग
USHA MARTIN	ऊषा मार्टिन
BILL ATHEY	बिल एथे
SAN PABLO BAY	सैन पाब्लो बे
FORT LE BOEUF	फोर्ट ले बॉयूफ
MELLETTE	मेलेट
AMOGH	अमोघ
NATUN DIN	नतुन द‍िन
BLOCK ISLAND	ब्लॉक आइलैंड
HILTON GROUP	हिल्टन ग्रुप
RAJANI	रजनी
ENDESA	एन्डेसा
MARCONI PRIZE	मारकोनी प्राइज़
FAWZI	फावज़ी
LANCASTER	लैनकेस्टर
MAIRI	मैरी
MALCOLM BALDRIGE NATIONAL QUALITY AWARD	मैल्कम बैलरिज नेशनल क्वालिटी अवार्ड
JITENDRA	जितेंद्र
MICHAEL DOUGLAS	मिशेल डॉगल्स
ROMANZOF	रोमनज़ोफ़
GAURI	गौरी
ALPHA	अल्फा
BADAMPUDI	बादामपुड़ी
HAMBADA	हंबड़ा
PRIX GONCOURT	प्रिक्स गॉनकोर्ट
LATA	लता
Shaayad	शायद
XING UNIVERSAL TELEPHONE	ज़िंग युनिवर्सल टैलिफ़ोन
SUMITRANANDAN PANT	सुमित्रानंदन पंत
UGAANI	उगाणी
SOLOMON ISLAND	सोलोमन द्वीप
SAMRAT CHANDRAGUPT	सम्राट चंद्रगुप्त
AMARASHRI	अमराश्री
KHATRI	खत्री
MIMI	मिमी
APNA KAUN ?	अपना कौन?
FILLMORE	फिल्मोर
KEENAN	कीनन
BHEL	भेल
Dhananjay	धनंजय
DURGAA	दुर्गा
CORNELIA	कोर्नेलिया
GURNAM	गुरनाम
EMIRATES TOWER ONE	एमीरेट्स टॉवर वन
HINDI	हिन्दी
VASH	वश
DARBAN	दरबान
BALLIA	बालिया
MASTANA MASHOOQ	मस्ताना माशूक
MARTIN SUJI	मार्टिन सूजी
JAHANARA	जहानारा
SHIVAPRIYAA	शिवप्रिया
KHATAVKAR	खटावकर
HARASHARAN	हरशरण
ANANDI	आनंदी
SAHARANPUR	सहारनपुर
HAMNAH	हम्नाह
ZSA ZSA	ज़ा ज़ा
AKELE HUM AKELE TUM	अकेले हम अकेले तुम
RODDY	रॉडी
Bistar	बिस्तर
GURGAON	गुड़गाँव
GANGAGANJ	गंगागंज
BIKRAMPUR	बिक्रमपुर
KUSUMLATA	कुसुमलता
CALLIA	कैलिया
Agam	आगम
PAUL SHEAHAN	पॉल शीहन
JANGAL MEIN MANGAL	जंगल में मंगल
JUNGLE KI BETI	जंगल की बेटी
FORT CAROLINE	फोर्ट कैरोलीन
BLADING	ब्लेडिंग
AMLA JUNCTION	आम्ला जंक्शन
KAANADE	कानडे
UNIVERSITY OF LANCASTER	यूनिवर्सिटी ऑफ लैंकेस्टर
Majboor	मजबूर
RUTH WESTHEIMER	रूथ वेस्टहीमर
LYCHNOSTATIS OPEN-AIR MUSEUM	ल‍िक्नोस्टेट‍िस ओपन-एयर म्युज़ियम
MARTIN KENT	मार्टिन केंट
RHODE ISLAND	रॉड आइलैंड
KATKAR	काटकर
UDHAMPUR	ऊधमपुर
Mrigesh	मृगेश
GUJ ALKALI	गुजरात अल्कली
BHAKTA RAJ	भक्त राज
ANGIOTECH PHARMACEUTICALS	एन्जियोटेक फ़ार्मासुटिकल्स
RED ROSE	रेड रोज़
RIJUTA	ऋजुता
VAAKNIS	वाकनीस
CHRISTY HEFNER	क्रिस्टी हैन्फ़र
BHOLA BHALA	भोला भाला
VACHEL	वचेल
KALELKAR	कालेलकर
DEV KUMAR	देव कुमार
WEBZEN	वेब्ज़ेन
RANGILA MUSAFIR	रंगीला मुसाफिर
SHERY	शेरी
LANCE GIBBS	लैन्स गिब्स
TIM CARY	टिम कॅरी
DIDRIKA	डिड्रिका
LASKER AWARD	लास्कर अवार्ड
DRAXIS HEALTH	ड्रेक्सिस हेल्थ
SALAAM MEMSAAB	सलाम मेमसाब
AKEEL	अकील
ROBER BOSCH	रॉबर बॉश
CESAR AWARD	कैसर अवार्ड
IDOLA	इडोला
HOOK	हुक
WAHBAN	वाहबान
HAKIM	हकीम
Indraja	इंद्रजा
SHIDHORE	शिधोरे
FALNA	फलना
DELTA AIR LINES	डेल्टा एयर लाइन्स
SANCHALI	संचाली
FARRAGUT	फैरागट
FIONN	फियोन
VISHWA	विश्व
BODHRAN	बोधरन
DAKHLA	डाखला
HOTHI	होठी
ADVAKEE	अद्‍वाकी
AMERICAN WAR OF INDEPENDENCE	अमेरिकन वार ऑफ इंडिपेंडेंस
PHILO WALLACE	फिलो वैलेस
LETHIA	लेथिया
SAMYAK	सम्यक
DURAUNDHA JUNCTION	दुरौंधा जंक्शन
NAIRI	नैरी
Jasoda	जसोदा
TOM SELLECK	टॉम सीलॅक
TUNGABHADRA	तुंगभद्रा
MASTA FAKIR	मस्त फकीर
BARRY HADLEE	बैरी हैडली
ROSAMUND	रोसमन्ड
MISS MANORAMA	मिस मनोरमा
PANACEA BIOTECH	पैनेसिया बायोटेक
Abhichandr	अभिचंद्र
HOOR	हूर
GALLIA	गैलिया
ASHISH NEHRA	आशीष नेहरा
NOOR	नूर
WELLS FARGO	वेल्स फ़ार्गो
SABNIS	सबनीस
COURAGEOUS	करेजियस
STUART LAW	स्टुअर्ट लॉ
BEZUBAAN	बेज़ुबान
KESHINI	केशिणी
NOVOROSSYSK	नॉवोरोसिस्क
SICILIA	सिसिलिया
NATHAN HAURITZ	नाथन हॉरिट्ज़
EOLANDE	इओलैंड
GISELLE	गिसेली
AHAMAD	अहमद
FAYRUZ	फैरुज़
THE TYNE TURRETS	द टायने टरेट्‍स
FORT HAMILTON	फोर्ट हैमिल्टन
CHAPHEKAR	चाफेकर
VERIA FOLKLORE MUSEUM	वेर‍िया फोकलोर म्युज़ियम
AKABAR	अकबर
VIRESH	विरेश
BARBARA MARX HUBBARD	बारबरा मार्क्स हबर्ड
MAJD	मज्द
SIMA PUMACOCHA	सिमा प्युमाकोका
EBRA	एब्रा
SHAFQAT	शफकत
LOWER NIRAR RESERVOIR	लोवर निरार रिज़रवायर
VIYOGEE	वियोगी
SHAILASUTAA	शैलसुता
SALL	सल्ल
JORU KA BHAI	जोरू का भाई
TARANNUM	तरन्नुम
DUBLIN WRITERS MUSEUM	डब्ल‍िन राइटर्स म्युज़ियम
IMPLACABLE	इमप्लेसेबल
APRIL	एप्रिल
EK NAYA RISHTA	एक नया रिश्ता
KATHAJURI	काठजुरी
WHITCOMB	व्हाइटकॉम्ब
DARD-E-DIL	दर्द-ए-दिल
DAGMAGPUR	डगमगपुर
NANDAKISHOR	नंदकिशोर
COUNTRY WESTERN TWO-STEP	कंट्री वेस्टर्न टू-स्टेप
PRASOON	प्रसून
JUMA'	जुमा
BHAALACHANDR	भालचंद्र
SHANE BOND	शेन बॉन्ड
DIL KA THUG	दिल का ठग
FURKATING JUNCTION	फर्कटिंग जंक्शन
DEMETRIUS	डिमेट्रियस
GIANCARLO	गियानकार्लो
Kesharwal	केशरवाल
AGNIJA	अग्निजा
KRASHNAPINGAAKSHAN	कृष्णपिंगाक्षं
PANHALA	पन्हाला
ACHCHA BURA	अच्छा बुरा
BHATTI	भट्टी
PHIR AYA TOOFAN	फिर आया तूफान
AAHWANIT	आह्वानित
BHAI BAHEN	भाई बहन
DEEPEN	दीपेन
Kortenaer	कॉर्टेनेर
BIRAJ BAHU	बिरज बहू
GAJADANT	गजदंत
AURYON	ऑर्यन
FRANCESCO MOROSINI	फ्रांसेस्को मोरोसिनी
GWYN	ग्वायन
GEORGE	जॉर्ज
NAAG MANDIR	नाग मंदिर
DEVGAM	देवगम
POONAM KA CHAND	पूनम का चाँद
FOOTBALL	फुटबॉल
GURUDWARA SEES GANJ SAHIB	गुरूद्वारा सीस गंज साहिब
GARIBI HATAO	गरीबी हटाओ
MAHABALI HANUMAN	महाबली हनुमान
SACHCHE KA BOLBALA	सच्चे का बोलबाला
COLOSSUS	कॉलॉसस
SINDOOR AUR BANDOOK	सिंदूर और बंदूक
MANMOHAN	मनमोहन
GRAMMY TRUSTEES AWARD	ग्रैमी ट्रस्टीस अवार्ड
HAUPANGO	हॉपैंगो
SUDIPTA	सुदीप्ता
PETE	पेटे
MUKHTAAR	मुख्तार
INDEPENDENCE	इंडीपेंडेंस
Ambasamudram	अम्बासमुद्रम
AMERADA HESS	एमरेडा हेस
HAWA MAHAL	हवा महल
VIJUL	विजुल
FATTANWALA	फत्तणवाला
REGINA MARIA PIA	रेजिना मारिया पिया
BRANDO	ब्रँडो
RODEO	रोडियो
STEW	स्टीव
AHIJIT	अहिजित
NAIDUNIYA	नईदुन‍िया
SHAADI SE PEHLE	शादी से पहले
KAKADU	काकाडू
CHAPADA DA DIAMANTINA	चापाडा डा डायमेंटिना
IAN CALLEN	इआन कैलेन
CHANDOLKAR	चांदोरकर
DADAHUR	ददाहूर
GENICA	जेनिका
JAXON	जैक्सन
Devprayag	देवप्रयाग
CHRISTOPHER	क्रिस्टोफर
MALINI	मालिनी
SLEDDING	स्लेडिंग
GIRNA	गिर्ना
AHMED KAMAL	अहमद कमाल
NIAMUR RASHID	नियामुर रशीद
SIDNEY	सिडनी
HA HA HE HE HO HO	हा हा ही ही हो हो
BADR AL DIN	बद्र अल दीन
CHARNO KI SAUGHANDH	चरणों की सौगंध
GURIYA	गुरिया
Jaunie	जॉनी
CATSKILL	कैस्किल
CHA CHA	चा चा
EK BAAR KAHO	एक बार कहो
ARENAC	एरेनैक
MUHAMMAD MADANI MIYA ASHRAFI AL-JILANI	मोहम्मद मदानी मियाँ अशरफी अल-जिलानी
EESHVAR	ईश्वर
RASHID PATEL	रशीद पटेल
LISBON PORTELA	लिस्बन पोर्टेला
UTSA	उत्सा
BHILWARA	भीलवाड़ा
BHADRACHALAM	भद्राचलम
Armaan	अरमान
FIDEL EDWARDS	फिडल एडवर्ड्‍स
LAXMINARAYAN SHASTRI	लक्ष्मीनारायण शास्त्री
BINDU	बिन्दु
YAMINI	यमिनी
MERA SUHAG	मेरा सुहाग
ROSTER	रोस्‍टर
MAYOORASHIKHAA	मयूरशिखा
VIJ	विज
ANDHERI RAAT MEIN DIYA TERE HATH MEIN	अंधेरी रात में दिया तेरे हाथ में
GUMMAN	गुमन
ISOLDE	आइसोल्ड
WAL MART STORES	वॉल मार्ट स्टोर्स
DIELLA	डिएला
INDIUM	इंडियम
CHANDERIYA	चंदेरिया
TRINI	ट्रीनी
MOXENOS	मॉक्सेनोस
SHERNI	शेरनी
JOVIANNE	जोविएन
TUDOR	ट्यूडर
LOKRE	लोकरे
KHALIFAH	खलिफाह
MEGHNAD	मेघनाद
BADSHAH	बादशाह
IBTHAJ	इब्थज
BAHIYUDEEN	बहियुद्दीन
INTERNATIONAL CROOK	इंटरनेशनल क्रुक
ZONA	ज़ोना
MURSHIDA	मुर्शिदा
MEADOW	मीडो
ORDER OF THE VASA	ऑडर ऑफ़ द वासा
ROCKET GIRL	रॉकेट गर्ल
FUJAI	फुजाई
AANSOO AUR MUSKAN	आँसू और मुस्कान
FAKEEHAH	फकीहाह
KASHINATH	काशीनाथ
JACOB MARTIN	जेकब मार्टिन
MITHIL	मिथिल
MICHAEL MASON	माइकल मैसन
DATAMATICS TECH	डेटामेटिक्स टेक
Olwen	आल्विन
BABA FAKRUDDIN	बाबा फकरूद्दीन
BHAI KA PYAR	भाई का प्यार
BAHJAT	बहजात
RANEE	रानी
BATUQUE	बैट्यूक
DHARSHANA	दर्शना
FORT TRUMBULL	फोर्ट ट्रम्बुल
MISAL	मिसाल
Bichia	बिछिया
SURABHI	सुरभि
AALAAP	आलाप
LEXINGTON	लेक्ज़िंगटन
MULSHI DAM	मुल्शी डैम
VRAJABALA	व्रजबाला
RASHK E LAILA	रश्क ए लैला
WILLIAMITE WAR IN IRELAND	विलियामाइट वार इन आयरलैंड
BEDARD ZAMANA KYA JANE	बेदर्द ज़माना क्या जाने
Fergal	फेर्गल
INNISFALLEN	इनिसफॉलन
TIRUKKANNANKUDI	तिरुक्कन्नानकुडी
STANLEY FORT	स्टैनले फोर्ट
ROUNDER	राउंडर
DIVIS LABS	डिविस लैब्स
TWO PRUDENTIAL PLAZA	टू प्रुडेन्शियल प्लाज़ा
Baht	बहट
Banbasa	बनबासा
BHANDAK	भंदक
GRIDCO	ग्रिडको
SEHRA	सेहरा
MAHAGEET	महागीत
YADAGIRIGUTTA	यादगिरीगुट्टा
SAMAJ PATAN	समाज पतन
SADIQAH	सदीकाह
Kobsa	कोब्सा
ALWAYE	ऑल्वे
BOONS	बून्स
GLORA	ग्लोरा
KASHMAKASH	कश्मकश
RUBIN MUSEUM OF ART	रुब‍िन म्युज़ियम ऑफ आर्ट
